x1,x2,x3,x4,x5
7,4,7,4,4
6,10,2,1,2
4,5,4,2,4
4,3,7,4,4
2,5,2,4,6
5,4,6,3,5
4,4,4,4,4
1,2,2,2,2
3,4,4,3,3
4,3,3,4,3
8,1,4,3,8
4,4,4,4,4
4,4,4,4,4
4,3,4,3,3
2,8,2,10,3
10,4,3,7,4
6,4,7,10,4
4,4,9,3,3
4,3,4,3,6
4,2,4,3,4
5,5,3,2,1
7,4,4,9,4
4,1,5,5,5
9,2,2,8,2
3,8,2,2,2
10,10,4,4,1
6,2,2,1,2
3,3,8,4,9
4,3,4,4,6
8,1,4,3,4
6,2,2,8,6
4,4,1,8,4
7,2,2,7,7
5,3,4,3,4
4,4,1,4,8
8,3,9,1,1
4,9,4,2,3
3,2,2,2,2
2,3,3,10,8
4,4,4,4,4
6,2,6,6,2
8,3,4,3,4
10,2,8,2,2
4,4,4,4,1
1,2,9,2,2
2,10,10,2,2
6,4,4,4,4
4,4,3,4,1
4,1,5,8,4
4,4,4,4,4
2,2,2,2,4
4,2,3,4,4
10,2,2,6,1
6,3,7,9,3
2,2,3,2,2
9,2,10,2,3
4,9,5,3,3
4,4,4,4,4
4,4,4,10,5
4,10,3,3,3
4,6,3,10,3
4,4,5,4,4
7,9,2,2,2
9,2,2,6,2
7,5,2,2,5
7,9,8,4,10
5,6,3,3,7
4,4,4,9,4
2,2,2,2,2
2,8,2,2,8
2,2,2,2,3
2,2,2,2,8
2,2,2,10,2
4,4,3,4,4
3,3,1,3,10
2,2,2,2,2
2,5,2,2,2
1,2,2,2,2
3,4,3,9,3
1,7,4,4,8
2,2,2,2,2
4,4,8,4,3
5,4,3,3,3
2,8,2,2,9
3,2,2,6,2
4,7,4,4,4
4,2,2,2,2
9,2,3,2,2
4,1,4,4,5
2,5,4,4,4
3,7,3,9,3
4,6,6,6,1
4,8,3,3,8
3,2,6,1,2
2,2,2,7,7
4,4,4,4,3
4,4,7,4,4
3,8,3,10,3
9,2,9,2,2
7,1,2,2,2
2,2,2,2,2
2,2,2,2,2
2,2,2,2,2
4,4,4,4,4
2,2,2,2,2
4,4,4,4,4
4,4,4,4,4
2,2,2,2,2
2,2,2,2,2
2,2,2,2,2
2,2,2,2,2
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
2,2,2,2,2
2,2,2,2,2
4,4,4,4,4
2,2,2,2,2
2,2,2,2,2
4,4,4,4,4
2,2,2,2,2
4,4,4,4,4
